Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C4, C5, C6, C7, C8, C9",0805,15,100n,
C3,0805,1,1u,
J1,IDC-Header_2x17_P2.54mm_Vertical,1,Conn_02x17_Odd_Even,
"R1, R10, R11, R12, R13, R14, R15, R4, R5, R6, R7, R8, R9",0805,13,10k,
"R16, R17, R18, R19, R20, R21, R22, R23, R24",0805,9,1k,
R2,0805,1,22k,
R3,0805,1,47,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB_LED,9,SW_MEC_5G_LED,
SW10,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder,
U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23S17_SO,
U2,Vishay_MOLD-3Pin,1,TSOP45xx,
U3,"ST7735_1,8_128x160",1,"ST7735_1,8",
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,M95160-WMN6P,
