Designator,Mid X,Mid Y,Rotation,Layer
C1,204.6625,-56.65,180.0,bottom
C10,241.0,-52.5,180.0,bottom
C11,241.0,-46.5,180.0,bottom
C12,243.0375,-81.5,180.0,bottom
C13,243.3,-101.0,180.0,bottom
C14,243.0,-62.0,180.0,bottom
C15,247.9625,-52.0,0.0,bottom
C16,212.037499,-52.625,180.0,bottom
C2,194.9625,-51.5,180.0,bottom
C3,184.5,-42.9625,270.0,bottom
C4,184.6,-81.5,180.0,bottom
C5,184.4625,-101.5,180.0,bottom
C6,204.0,-81.5,180.0,bottom
C7,203.9625,-101.5,180.0,bottom
C8,223.0,-82.0,180.0,bottom
C9,223.0375,-101.5,180.0,bottom
FID1,249.575,-109.25,180.0,bottom
FID2,181.0,-108.8,180.0,bottom
FID3,252.3,-42.275,180.0,bottom
FID4,181.9,-41.475,180.0,bottom
J1,218.42,-37.23,270.0,bottom
R1,204.6,-58.8,180.0,bottom
R10,241.0,-50.5,180.0,bottom
R11,241.0,-48.5,180.0,bottom
R15,248.0,-50.0,0.0,bottom
R16,181.0,-92.0,0.0,bottom
R17,180.5,-111.5,0.0,bottom
R18,200.0,-111.5,0.0,bottom
R19,220.0,-111.5,0.0,bottom
R2,190.5,-43.0,90.0,bottom
R20,239.0,-111.5,0.0,bottom
R21,200.0,-92.0,0.0,bottom
R22,219.5,-92.0,0.0,bottom
R23,239.0,-92.0,0.0,bottom
R24,239.5,-72.5,0.0,bottom
R3,187.5,-43.0,270.0,bottom
SW1,185.9,-87.05,0.0,top
SW10,244.55,-49.6,0.0,top
SW2,185.9,-106.55,0.0,top
SW3,205.4,-87.05,0.0,top
SW4,205.4,-106.55,0.0,top
SW5,224.9,-87.05,0.0,top
SW6,224.9,-106.55,0.0,top
SW7,244.4,-87.05,0.0,top
SW8,244.4,-106.55,0.0,top
SW9,244.4,-67.55,0.0,top
U1,195.0,-62.0,90.0,bottom
U2,187.315,-36.999999,270.0,top
U3,205.6,-60.05,0.0,top
U4,213.675,-56.425,270.0,bottom
