Designator,Mid X,Mid Y,Rotation,Layer
A1,84.6725,-179.19,90.0,top
C1,69.38,-209.45,90.0,top
C10,111.575,-212.365,270.0,top
C11,109.175,-212.365,270.0,top
C12,71.2,-249.35,0.0,bottom
C13,120.0,-227.105177,90.0,top
C14,120.5,-209.805177,90.0,top
C16,117.2,-240.7375,180.0,top
C17,117.2,-238.3375,180.0,top
C18,103.0,-219.9375,270.0,top
C19,117.2,-235.9375,180.0,top
C20,100.6,-219.9375,270.0,top
C21,117.2,-233.5375,180.0,top
C22,98.2,-219.9375,270.0,top
C23,93.7375,-246.0375,0.0,top
C24,93.7375,-248.4375,0.0,top
C25,88.785,-243.6375,180.0,top
C26,88.785,-246.0375,180.0,top
C27,88.785,-241.2375,180.0,top
C28,93.7475,-241.2375,0.0,top
C29,93.7475,-243.6375,0.0,top
C3,70.85,-220.2125,270.0,top
C30,88.785,-248.4375,180.0,top
C31,122.2125,-240.7375,0.0,top
C32,82.3375,-248.4375,180.0,top
C33,82.3375,-246.0375,180.0,top
C34,82.3375,-243.6375,180.0,top
C35,82.3,-241.2375,180.0,top
C36,81.2,-224.0875,0.0,top
C37,81.2,-234.6375,0.0,top
C38,91.767677,-234.7375,180.0,top
C39,91.767677,-224.2375,180.0,top
C4,70.635,-213.2875,270.0,top
C40,167.6,-205.75,270.0,top
C42,168.2,-221.8,180.0,top
C44,145.05,-171.705,180.0,top
C45,144.25,-173.905,0.0,top
C46,156.7475,-201.9,0.0,top
C47,153.3475,-201.9,0.0,top
C49,170.1125,-230.2875,90.0,top
C50,162.7125,-224.6875,270.0,top
C51,134.5,-238.2375,90.0,top
C52,170.5,-215.15,270.0,top
C53,163.1,-211.15,270.0,top
C54,132.2,-238.2375,90.0,top
C55,136.8,-238.2375,90.0,top
C56,126.7,-235.640151,90.0,top
C57,169.9,-246.1375,270.0,top
C58,172.2,-246.1375,270.0,top
C59,152.75,-164.2,0.0,top
C6,65.035,-209.4375,270.0,top
C60,165.3,-246.1375,270.0,top
C61,167.6,-246.1375,270.0,top
C62,154.447349,-158.8,0.0,top
C63,177.2,-236.75,90.0,top
C64,183.8,-236.75,90.0,top
C65,161.35,-180.2,180.0,top
C66,160.55,-182.4,0.0,top
C67,147.6,-222.757,0.0,top
C68,151.25,-222.757,0.0,top
C69,167.85,-171.1,270.0,top
C7,61.4,-208.25,180.0,top
C70,157.86125,-195.13125,90.0,top
C71,163.052651,-158.8,180.0,top
C72,181.225,-194.115,90.0,top
C73,147.725,-234.8975,0.0,top
C75,171.825,-194.115,90.0,top
C76,116.3375,-187.45,90.0,top
C77,119.6375,-187.45,90.0,top
C78,162.425,-194.115,90.0,top
C8,64.5,-220.2875,90.0,top
C80,126.642621,-156.475,270.0,top
C81,125.75,-161.3,0.0,top
C82,154.425,-232.6975,90.0,top
C84,105.0,-161.2,90.0,top
C85,177.25,-173.9,180.0,top
C86,175.75,-171.7,0.0,top
C87,120.5,-159.45,270.0,top
C88,124.75000047648318,-165.7052064764832,315.0,top
C89,172.25,-173.9,180.0,top
C9,113.975,-212.365,270.0,top
C90,172.252651,-179.4,180.0,top
C91,154.325,-219.9975,90.0,top
C93,181.75,-200.8,90.0,top
C94,179.7,-200.8,90.0,top
D10,145.243,-207.05,0.0,top
D11,132.34,-246.2575,0.0,top
D12,140.75,-168.605,270.0,top
D13,176.7,-246.35,90.0,top
D15,157.05,-177.1,270.0,top
D16,137.0,-217.15,90.0,top
D19,128.9,-156.975,90.0,top
D2,64.45,-164.35,0.0,top
D20,128.9,-161.7,90.0,top
D21,171.55,-168.8,270.0,top
D3,102.74,-213.89,0.0,top
D4,81.26,-251.3875,180.0,top
D5,145.4,-200.15,0.0,top
D6,145.4,-202.45,0.0,top
D7,173.5,-214.9,90.0,top
D8,145.2475,-204.75,0.0,top
FAN1,140.145,-188.95,90.0,top
J1,95.78,-196.42,270.0,top
L1,85.2,-212.8275,0.0,top
L2,105.895,-238.6375,270.0,top
L3,67.15,-238.6375,90.0,top
L4,144.55,-159.805,0.0,top
L5,160.95,-168.3,0.0,top
L6,175.45,-160.0,0.0,top
LS1,132.5999997685089,-171.74999976850887,315.0,top
Q10,116.9,-176.25,180.0,top
Q11,116.9,-179.85,180.0,top
Q12,136.1375,-185.2125,90.0,top
Q13,151.4,-239.2375,180.0,top
Q14,144.53,-251.2875,180.0,top
Q15,134.32,-156.125,180.0,top
Q16,134.32,-159.95,180.0,top
Q17,155.3,-239.2375,180.0,top
Q18,155.03,-251.2875,180.0,top
Q19,159.2,-239.2375,180.0,top
Q2,69.4375,-246.3125,90.0,bottom
Q20,165.57,-251.2875,180.0,top
Q3,72.9575,-246.3125,90.0,bottom
Q4,91.76,-251.3875,180.0,top
Q5,149.6975,-201.15,0.0,top
Q6,164.25,-207.5,90.0,top
Q7,160.8,-207.5,90.0,top
Q8,119.99,-251.3875,180.0,top
Q9,116.9,-172.725,180.0,top
R1,66.985,-209.4375,90.0,top
R100,154.325,-212.4975,270.0,top
R101,155.15,-215.1625,180.0,top
R102,177.25,-207.0875,90.0,top
R103,177.25,-203.6875,90.0,top
R104,155.15,-217.0625,0.0,top
R105,156.325,-212.4975,90.0,top
R106,161.1,-245.7375,90.0,top
R11,70.635,-216.6875,90.0,top
R12,61.4,-206.1,0.0,top
R13,61.4,-210.2,0.0,top
R14,125.8,-186.95,90.0,top
R15,125.8,-183.55,90.0,top
R16,62.535,-220.2875,90.0,top
R17,69.3575,-243.2625,180.0,bottom
R19,67.7125,-249.2625,0.0,bottom
R21,73.9,-250.8375,270.0,bottom
R22,71.85,-252.1125,90.0,bottom
R23,84.5,-247.7,0.0,bottom
R24,77.95,-205.0,90.0,top
R25,75.65,-204.9875,270.0,top
R27,81.8,-204.1,0.0,top
R28,160.8,-204.6,0.0,top
R29,163.4625,-203.9,90.0,top
R3,65.835,-206.7375,180.0,top
R30,173.45,-219.3,270.0,top
R31,170.45,-211.45,270.0,top
R32,149.443,-206.3,0.0,top
R33,149.443,-203.9,0.0,top
R34,169.6,-205.75,90.0,top
R38,164.6,-218.55,90.0,top
R39,163.15,-214.95,90.0,top
R4,65.835,-204.7375,0.0,top
R40,170.0625,-226.8875,270.0,top
R41,123.15,-186.9,90.0,top
R42,123.15,-183.5375,90.0,top
R44,167.7,-232.0,270.0,top
R45,150.95,-167.3,270.0,top
R47,163.9,-232.0,90.0,top
R48,161.7,-232.0,270.0,top
R49,165.8,-233.2,270.0,top
R5,69.38,-206.05,270.0,top
R50,168.9,-239.6375,90.0,top
R51,165.0,-239.6375,90.0,top
R52,149.95,-171.505,0.0,top
R53,149.95,-173.505,180.0,top
R54,114.0375,-172.75,270.0,top
R55,114.0375,-176.25,270.0,top
R56,114.0375,-179.825,270.0,top
R57,173.1,-235.6375,90.0,top
R58,188.0,-236.75,90.0,top
R59,120.5,-173.4,180.0,top
R60,120.5375,-176.25,180.0,top
R61,120.55,-179.925,180.0,top
R62,140.2,-212.5,270.0,top
R63,167.25,-176.3,270.0,top
R64,144.8125,-219.4975,270.0,top
R65,141.95,-223.1,180.0,top
R66,166.15,-179.9625,0.0,top
R67,166.1375,-181.9625,180.0,top
R69,113.8375,-190.15,0.0,top
R7,71.28,-206.05,90.0,top
R70,144.225,-233.4975,180.0,top
R71,144.925,-230.7975,90.0,top
R72,117.2375,-190.15,0.0,top
R73,140.225,-191.7125,0.0,top
R74,144.925,-225.3975,270.0,top
R75,144.225,-228.0975,0.0,top
R76,142.6,-212.5,270.0,top
R77,142.95,-230.8,270.0,top
R78,141.925,-224.9975,180.0,top
R79,144.925,-212.4975,90.0,top
R8,66.985,-220.25,90.0,top
R80,141.2,-245.7375,90.0,top
R82,125.942621,-159.375,0.0,top
R84,157.125,-233.9975,0.0,top
R85,157.125,-231.8975,0.0,top
R86,124.55,-156.4,270.0,top
R87,133.1,-163.15,0.0,top
R88,102.9,-161.2,90.0,top
R89,154.325,-225.35,270.0,top
R9,68.9,-220.2625,90.0,top
R90,181.75,-167.4,270.0,top
R91,155.025,-227.9975,180.0,top
R92,155.125,-229.9975,0.0,top
R93,157.0,-226.0975,0.0,top
R94,151.72,-245.7375,90.0,top
R95,182.45,-170.5,180.0,top
R96,182.45,-172.5,0.0,top
R98,159.025,-221.0975,0.0,top
R99,158.225,-212.4975,90.0,top
TH2,133.3,-252.85,0.0,top
U1,64.4,-214.8625,180.0,top
U10,154.843,-205.6,270.0,top
U11,166.4,-226.6,180.0,top
U12,146.25,-167.805,270.0,top
